Project_ID,Schedule_Activity_ID,Schedule_WP_ID,Cost_Control_Account_ID,Cost_WP_ID,Cost_Component,Candidate_Component_BAC_USD,PV_Recognition_Method,Evidence_or_Assumption,Mapping_Status,Candidate_Share_of_Cost_WP_Pct,Cost_Ownership_Line_ID,Approval_Status
P01,P01-A1,P01-WP011,P01-CA01,P01-WP011,SOURCE_WP_SCOPE,122100,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,100.000000,CL0001,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A2,P01-WP012,P01-CA01,P01-WP012,SOURCE_WP_SCOPE,99900,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,100.000000,CL0002,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A3,P01-WP021,P01-CA02,P01-WP021,SOURCE_WP_SCOPE,181300,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,100.000000,CL0003,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A4,P01-WP022,P01-CA02,P01-WP022,SOURCE_WP_SCOPE,84175,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,25.000000,CL0004,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A4b,P01-WP022,P01-CA02,P01-WP022,SOURCE_WP_SCOPE,84175,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,25.000000,CL0005,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A12,P01-WP022,P01-CA02,P01-WP022,SOURCE_WP_SCOPE,168350,WEIGHTED_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,50.000000,CL0006,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A7a,P01-WP031,P01-CA03,P01-WP031,SOURCE_WP_SCOPE,69067,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,33.333494,CL0007,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A5,P01-WP031,P01-CA03,P01-WP031,SOURCE_WP_SCOPE,69067,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,33.333494,CL0008,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A5b,P01-WP031,P01-CA03,P01-WP031,SOURCE_WP_SCOPE,69066,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,33.333012,CL0009,APPROVED_SYNTHETIC_PORTFOLIO
P01,P01-A6,P01-WP032,P01-CA03,P01-WP032,SOURCE_WP_SCOPE,384800,WORKDAY_OR_DELIVERABLE,"Original Phase 3A activity allocation (synthetic), repartitioned when noted",PROPOSED_NOT_APPROVED,100.000000,CL0010,APPROVED_SYNTHETIC_PORTFOLIO
