Reporting_Month,Monthly_PV_USD,Monthly_EV_USD,Monthly_AC_USD,Cumulative_PV_USD,Cumulative_EV_USD,Cumulative_AC_USD,Status
2025-01,832526.00,590921.00,614158.76,832526.00,590921.00,614158.76,SYNTHETIC_SCENARIO_V1
2025-02,1410000.00,1589739.00,1712684.18,2242526.00,2180660.00,2326842.94,SYNTHETIC_SCENARIO_V1
2025-03,833601.38,702621.80,767440.00,3076127.38,2883281.80,3094282.94,SYNTHETIC_SCENARIO_V1
2025-04,1294012.20,1245560.80,1336846.18,4370139.58,4128842.60,4431129.12,SYNTHETIC_SCENARIO_V1
2025-05,1595848.90,1482975.78,1581943.88,5965988.48,5611818.38,6013073.00,SYNTHETIC_SCENARIO_V1
2025-06,2880651.58,2897006.34,3193533.05,8846640.06,8508824.72,9206606.05,SYNTHETIC_SCENARIO_V1
2025-07,4084726.98,3910259.39,4119874.20,12931367.04,12419084.11,13326480.25,SYNTHETIC_SCENARIO_V1
2025-08,4229867.42,3350030.59,3588777.31,17161234.46,15769114.70,16915257.56,SYNTHETIC_SCENARIO_V1
2025-09,4017202.12,4344812.52,4690851.37,21178436.58,20113927.22,21606108.93,SYNTHETIC_SCENARIO_V1
2025-10,5409524.48,5230807.69,5679952.67,26587961.06,25344734.91,27286061.60,SYNTHETIC_SCENARIO_V1
2025-11,6808669.82,6723097.15,7351379.23,33396630.88,32067832.06,34637440.83,SYNTHETIC_SCENARIO_V1
2025-12,6743308.21,4804350.25,5285878.96,40139939.09,36872182.31,39923319.79,SYNTHETIC_SCENARIO_V1
2026-01,4028945.07,5971589.27,6625613.51,44168884.16,42843771.58,46548933.30,SYNTHETIC_SCENARIO_V1
2026-02,5393701.19,5173944.21,5724063.81,49562585.35,48017715.79,52272997.11,SYNTHETIC_SCENARIO_V1
2026-03,4879011.51,5029584.95,5426641.79,54441596.86,53047300.74,57699638.90,SYNTHETIC_SCENARIO_V1
