Reporting_Month,Project_ID,Baseline_Monthly_PV_USD,Baseline_Cumulative_PV_USD,Scenario_Monthly_EV_USD,Scenario_Cumulative_EV_USD,Scenario_Monthly_AC_USD,Scenario_Cumulative_AC_USD,Status
2025-01,P01,285455.00,285455.00,285455.00,285455.00,285455.00,285455.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P02,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P03,508515.00,508515.00,274050.00,274050.00,295974.00,295974.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P04,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P05,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P11,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-01,P12,38556.00,38556.00,31416.00,31416.00,32729.76,32729.76,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P01,341621.00,627076.00,341621.00,627076.00,341621.00,627076.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P02,745140.00,745140.00,745140.00,745140.00,819654.00,819654.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P03,289681.00,798196.00,472990.00,747040.00,519050.70,815024.70,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P04,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P05,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P11,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-02,P12,33558.00,72114.00,29988.00,61404.00,32358.48,65088.24,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P01,170323.38,797399.38,170323.40,797399.40,170323.40,797399.40,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P02,269676.00,1014816.00,269676.00,1014816.00,296643.60,1116297.60,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P03,153468.00,951664.00,152006.40,899046.40,178775.60,993800.30,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P04,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P05,189440.00,189440.00,63492.00,63492.00,71745.96,71745.96,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P10,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P11,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-03,P12,50694.00,122808.00,47124.00,108528.00,49951.44,115039.68,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P01,232063.62,1029463.00,232063.60,1029463.00,232063.60,1029463.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P02,327660.58,1342476.58,326942.00,1341758.00,359636.20,1475933.80,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P03,282576.00,1234240.00,236779.20,1135825.60,251161.34,1244961.64,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P04,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P05,261960.00,451400.00,280016.00,343508.00,323288.24,395034.20,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P06,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P07,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P08,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
2025-04,P09,0.00,0.00,0.00,0.00,0.00,0.00,SYNTHETIC_ACTUALS_CUTOFF
