Project_ID,Status_Date,Scenario_Status,BAC_USD,PV_USD,EV_USD,AC_USD,CV_USD,SV_USD,CPI,SPI,EAC_USD,ETC_USD,VAC_USD,EAC_Method,Data_Provenance
P01,2026-03-31,CLOSED,7400000.00,7400000.00,7400000.00,7452530.14,-52530.14,0.00,0.9930,1.0000,7452530.14,0.00,-52530.14,FINAL_INCURRED_COST_ASSUMED_NO_REMAINING_WORK,SYNTHETIC_SCENARIO_V1
P02,2026-03-31,CLOSED,8800000.00,8800000.00,8800000.00,9754131.20,-954131.20,0.00,0.9022,1.0000,9754131.20,0.00,-954131.20,FINAL_INCURRED_COST_ASSUMED_NO_REMAINING_WORK,SYNTHETIC_SCENARIO_V1
P03,2026-03-31,ACTIVE,20300000.00,11474575.00,10909518.50,12087428.39,-1177909.89,-565056.50,0.9026,0.9508,22491808.08,10404379.69,-2191808.08,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P04,2026-03-31,ACTIVE,5500000.00,5335000.00,4839817.00,5447822.80,-608005.80,-495183.00,0.8884,0.9072,6190941.81,743119.01,-690941.81,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P05,2026-03-31,ACTIVE,11100000.00,10285835.00,10285835.00,11920477.64,-1634642.64,0.00,0.8629,1.0000,12864031.15,943553.51,-1764031.15,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P06,2026-03-31,ACTIVE,6900000.00,3056097.00,2945024.30,3198678.38,-253654.08,-111072.70,0.9207,0.9637,7494294.98,4295616.60,-594294.98,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P07,2026-03-31,ACTIVE,4100000.00,1810888.00,1835980.00,1769659.75,66320.25,25092.00,1.0375,1.0139,3951897.61,2182237.86,148102.39,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P08,2026-03-31,ACTIVE,4600000.00,763586.00,614362.00,670320.66,-55958.66,-149224.00,0.9165,0.8046,5018987.24,4348666.58,-418987.24,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P09,2026-03-31,EARLY,7800000.00,340080.00,315120.00,324573.60,-9453.60,-24960.00,0.9709,0.9266,8034000.00,7709426.40,-234000.00,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
P10,2026-03-31,FUTURE,3700000.00,0.00,0.00,0.00,0.00,0.00,,,3700000.00,3700000.00,0.00,BAC_UNCHANGED_NOT_PERFORMANCE_FORECAST,SYNTHETIC_SCENARIO_V1
P11,2026-03-31,CLOSED,3200000.00,3200000.00,3200000.00,3047665.78,152334.22,0.00,1.0500,1.0000,3047665.78,0.00,152334.22,FINAL_INCURRED_COST_ASSUMED_NO_REMAINING_WORK,SYNTHETIC_SCENARIO_V1
P12,2026-03-31,STANDING,5100000.00,1975535.86,1901643.94,2026350.56,-124706.62,-73891.92,0.9385,0.9626,5434449.45,3408098.89,-334449.45,BAC_DIVIDED_BY_CPI_INDICATIVE,SYNTHETIC_SCENARIO_V1
PROGRAM,2026-03-31,AGGREGATED,88500000.00,54441596.86,53047300.74,57699638.90,-4652338.16,-1394296.12,0.9194,0.9744,95434737.44,37735098.54,-6934737.44,SUM_OF_PROJECT_EACS_NOT_PROGRAM_BAC_DIV_CPI,SYNTHETIC_SCENARIO_V1
