Cost_Ownership_Line_ID,Project_ID,Funded_Cost_WP_ID,Schedule_Activity_ID,Reporting_Month,Monthly_PV_USD,PV_Rule,Synthetic_Recognition_Proxy
CL0001,P01,P01-WP011,P01-A1,2025-01,122100.00,WORKDAY_SPREAD,YES
CL0002,P01,P01-WP012,P01-A2,2025-01,99900.00,WORKDAY_SPREAD,YES
CL0003,P01,P01-WP021,P01-A3,2025-01,63455.00,WORKDAY_SPREAD,YES
CL0003,P01,P01-WP021,P01-A3,2025-02,117845.00,WORKDAY_SPREAD,YES
CL0004,P01,P01-WP022,P01-A4,2025-03,60606.00,WORKDAY_SPREAD,YES
CL0004,P01,P01-WP022,P01-A4,2025-04,23569.00,WORKDAY_SPREAD,YES
CL0005,P01,P01-WP022,P01-A4b,2025-04,84175.00,WORKDAY_SPREAD,YES
CL0006,P01,P01-WP022,P01-A12,2025-10,168350.00,FINAL_GATE,YES
CL0007,P01,P01-WP031,P01-A7a,2025-05,55253.60,PROCUREMENT_20_30_30_20,YES
CL0007,P01,P01-WP031,P01-A7a,2025-06,13813.40,PROCUREMENT_20_30_30_20,YES
CL0008,P01,P01-WP031,P01-A5,2025-03,13813.38,WORKDAY_SPREAD,YES
CL0008,P01,P01-WP031,P01-A5,2025-04,55253.62,WORKDAY_SPREAD,YES
CL0009,P01,P01-WP031,P01-A5b,2025-04,69066.00,WORKDAY_SPREAD,YES
CL0010,P01,P01-WP032,P01-A6,2025-05,307839.96,WORKDAY_SPREAD,YES
CL0010,P01,P01-WP032,P01-A6,2025-06,76960.04,WORKDAY_SPREAD,YES
CL0011,P01,P01-WP041,P01-A7b,2025-06,639360.00,PROCUREMENT_20_30_30_20,YES
CL0011,P01,P01-WP041,P01-A7b,2025-07,639360.00,PROCUREMENT_20_30_30_20,YES
CL0012,P01,P01-WP041,P01-A4u,2025-02,223776.00,WORKDAY_SPREAD,YES
CL0012,P01,P01-WP041,P01-A4u,2025-03,95904.00,WORKDAY_SPREAD,YES
CL0013,P01,P01-WP041,P01-A7c,2025-07,1278720.00,PROCUREMENT_20_30_30_20,YES
CL0014,P01,P01-WP041,P01-A8,2025-07,21312.00,WORKDAY_FALLBACK,YES
CL0014,P01,P01-WP041,P01-A8,2025-08,149184.00,WORKDAY_FALLBACK,YES
CL0014,P01,P01-WP041,P01-A8,2025-09,149184.00,WORKDAY_FALLBACK,YES
CL0015,P01,P01-WP041,P01-A15,2025-11,639360.00,FINAL_GATE,YES
CL0016,P01,P01-WP042,P01-A9,2025-08,255744.00,WORKDAY_FALLBACK,YES
CL0016,P01,P01-WP042,P01-A9,2025-09,170496.00,WORKDAY_FALLBACK,YES
CL0017,P01,P01-WP042,P01-A9b,2025-08,170496.00,WORKDAY_SPREAD,YES
CL0017,P01,P01-WP042,P01-A9b,2025-09,255744.00,WORKDAY_SPREAD,YES
CL0018,P01,P01-WP043,P01-A10,2025-10,383616.00,WORKDAY_FALLBACK,YES
CL0018,P01,P01-WP043,P01-A10,2025-11,255744.00,WORKDAY_FALLBACK,YES
CL0019,P01,P01-WP051,P01-A11,2025-10,518000.00,FINAL_GATE,YES
CL0020,P01,P01-WP061,P01-A13,2025-12,144300.00,FINAL_GATE,YES
CL0021,P01,P01-WP062,P01-A14,2025-12,77700.00,FINAL_GATE,YES
CL0022,P02,P02-WP011,P02-A1,2025-02,132000.00,WORKDAY_SPREAD,YES
CL0023,P02,P02-WP012,P02-A2,2025-02,132000.00,WORKDAY_SPREAD,YES
CL0024,P02,P02-WP021,P02-A3,2025-02,69300.00,WORKDAY_SPREAD,YES
CL0024,P02,P02-WP021,P02-A3,2025-03,207900.00,WORKDAY_SPREAD,YES
CL0025,P02,P02-WP022,P02-A4,2025-03,61776.00,WORKDAY_SPREAD,YES
CL0025,P02,P02-WP022,P02-A4,2025-04,195624.00,WORKDAY_SPREAD,YES
CL0026,P02,P02-WP022,P02-A4b,2025-04,38610.00,WORKDAY_SPREAD,YES
CL0026,P02,P02-WP022,P02-A4b,2025-05,218790.00,WORKDAY_SPREAD,YES
CL0027,P02,P02-WP031,P02-A5,2025-04,93426.58,WORKDAY_SPREAD,YES
CL0027,P02,P02-WP031,P02-A5,2025-05,14373.42,WORKDAY_SPREAD,YES
CL0028,P02,P02-WP031,P02-A5b,2025-05,107800.00,WORKDAY_SPREAD,YES
CL0029,P02,P02-WP032,P02-A6,2025-06,400400.00,WORKDAY_SPREAD,YES
CL0030,P02,P02-WP041,P02-A6b,2025-02,190080.00,WORKDAY_SPREAD,YES
CL0031,P02,P02-WP041,P02-A7a,2025-06,190080.00,PROCUREMENT_20_30_30_20,YES
CL0032,P02,P02-WP041,P02-A8,2025-06,190080.00,WORKDAY_FALLBACK,YES
CL0033,P02,P02-WP041,P02-A7b,2025-07,152064.00,PROCUREMENT_20_30_30_20,YES
CL0033,P02,P02-WP041,P02-A7b,2025-08,228096.00,PROCUREMENT_20_30_30_20,YES
CL0033,P02,P02-WP041,P02-A7b,2025-10,380160.00,PROCUREMENT_20_30_30_20,YES
CL0034,P02,P02-WP041,P02-A9,2025-06,12672.00,WORKDAY_SPREAD,YES
CL0034,P02,P02-WP041,P02-A9,2025-07,177408.00,WORKDAY_SPREAD,YES
CL0035,P02,P02-WP041,P02-A7c,2025-11,190080.00,WORKDAY_SPREAD,YES
CL0036,P02,P02-WP041,P02-A7d,2025-11,760320.00,PROCUREMENT_20_30_30_20,YES
CL0037,P02,P02-WP041,P02-A10,2025-11,15206.40,WORKDAY_FALLBACK,YES
CL0037,P02,P02-WP041,P02-A10,2025-12,174873.60,WORKDAY_FALLBACK,YES
CL0038,P02,P02-WP041,P02-A15b,2026-02,380160.00,FINAL_GATE,YES
CL0039,P02,P02-WP042,P02-A11a,2025-06,221760.00,PROCUREMENT_20_30_30_20,YES
CL0040,P02,P02-WP042,P02-A6c,2025-02,221760.00,WORKDAY_SPREAD,YES
CL0041,P02,P02-WP042,P02-A11b,2025-07,177408.00,PROCUREMENT_20_30_30_20,YES
CL0041,P02,P02-WP042,P02-A11b,2025-08,266112.00,PROCUREMENT_20_30_30_20,YES
CL0041,P02,P02-WP042,P02-A11b,2025-09,266112.00,PROCUREMENT_20_30_30_20,YES
CL0041,P02,P02-WP042,P02-A11b,2025-10,177408.00,PROCUREMENT_20_30_30_20,YES
CL0042,P02,P02-WP042,P02-A11c,2025-10,221760.00,WORKDAY_SPREAD,YES
CL0043,P02,P02-WP042,P02-A11d,2025-11,887040.00,PROCUREMENT_20_30_30_20,YES
CL0044,P02,P02-WP042,P02-A12,2025-11,133056.00,WORKDAY_FALLBACK,YES
CL0044,P02,P02-WP042,P02-A12,2025-12,88704.00,WORKDAY_FALLBACK,YES
CL0045,P02,P02-WP043,P02-A13,2025-07,285120.00,WORKDAY_SPREAD,YES
CL0045,P02,P02-WP043,P02-A13,2025-08,348480.00,WORKDAY_SPREAD,YES
CL0046,P02,P02-WP051,P02-A14,2026-01,264000.00,FINAL_GATE,YES
CL0047,P02,P02-WP051,P02-A15,2026-01,264000.00,FINAL_GATE,YES
CL0048,P02,P02-WP061,P02-A16,2026-02,171600.00,FINAL_GATE,YES
CL0049,P02,P02-WP062,P02-A17,2026-02,92400.00,FINAL_GATE,YES
CL0050,P03,P03-WP011,P03-A1,2025-01,274050.00,WORKDAY_SPREAD,YES
CL0051,P03,P03-WP012,P03-A2,2025-01,234465.00,WORKDAY_SPREAD,YES
CL0051,P03,P03-WP012,P03-A2,2025-02,100485.00,WORKDAY_SPREAD,YES
CL0052,P03,P03-WP021,P03-A3,2025-02,51156.00,WORKDAY_SPREAD,YES
CL0052,P03,P03-WP021,P03-A3,2025-03,153468.00,WORKDAY_SPREAD,YES
CL0052,P03,P03-WP021,P03-A3,2025-04,87696.00,WORKDAY_SPREAD,YES
CL0053,P03,P03-WP021,P03-A4,2025-04,194880.00,WORKDAY_SPREAD,YES
CL0053,P03,P03-WP021,P03-A4,2025-05,97440.00,WORKDAY_SPREAD,YES
CL0054,P03,P03-WP022,P03-A2b,2025-02,138040.00,WORKDAY_SPREAD,YES
CL0055,P03,P03-WP022,P03-A5,2025-05,234668.00,WORKDAY_FALLBACK,YES
CL0055,P03,P03-WP022,P03-A5,2025-06,179452.00,WORKDAY_FALLBACK,YES
CL0056,P03,P03-WP022,P03-A6,2025-06,73621.28,WORKDAY_SPREAD,YES
CL0056,P03,P03-WP022,P03-A6,2025-07,64418.72,WORKDAY_SPREAD,YES
CL0057,P03,P03-WP022,P03-A7,2025-06,20706.00,WORKDAY_SPREAD,YES
CL0057,P03,P03-WP022,P03-A7,2025-07,117334.00,WORKDAY_SPREAD,YES
CL0058,P03,P03-WP022,P03-A7b,2025-07,27607.98,WORKDAY_SPREAD,YES
CL0058,P03,P03-WP022,P03-A7b,2025-08,96627.93,WORKDAY_SPREAD,YES
CL0058,P03,P03-WP022,P03-A7b,2025-09,13804.09,WORKDAY_SPREAD,YES
CL0059,P03,P03-WP022,P03-A30,2026-12,276080.00,FINAL_GATE,YES
CL0060,P03,P03-WP031,P03-A8,2025-07,198940.00,WORKDAY_SPREAD,YES
CL0060,P03,P03-WP031,P03-A8,2025-08,49735.00,WORKDAY_SPREAD,YES
CL0061,P03,P03-WP031,P03-A9,2025-08,248675.00,WORKDAY_SPREAD,YES
CL0062,P03,P03-WP032,P03-A9b,2025-08,61576.66,WORKDAY_SPREAD,YES
CL0062,P03,P03-WP032,P03-A9b,2025-09,400248.34,WORKDAY_SPREAD,YES
CL0063,P03,P03-WP032,P03-A10,2025-09,207821.25,WORKDAY_SPREAD,YES
CL0063,P03,P03-WP032,P03-A10,2025-10,254003.75,WORKDAY_SPREAD,YES
CL0064,P03,P03-WP041,P03-A11,2025-09,86931.80,PROCUREMENT_20_30_30_20,YES
CL0064,P03,P03-WP041,P03-A11,2025-10,347727.20,PROCUREMENT_20_30_30_20,YES
CL0065,P03,P03-WP041,P03-A12,2025-11,347727.00,PROCUREMENT_20_30_30_20,YES
CL0065,P03,P03-WP041,P03-A12,2025-12,521590.50,PROCUREMENT_20_30_30_20,YES
CL0065,P03,P03-WP041,P03-A12,2026-02,521590.50,PROCUREMENT_20_30_30_20,YES
CL0065,P03,P03-WP041,P03-A12,2026-03,347727.00,PROCUREMENT_20_30_30_20,YES
CL0066,P03,P03-WP041,P03-A13,2026-03,434659.00,PROCUREMENT_20_30_30_20,YES
CL0067,P03,P03-WP041,P03-A14,2026-03,347727.00,PROCUREMENT_20_30_30_20,YES
CL0067,P03,P03-WP041,P03-A14,2026-04,1390908.00,PROCUREMENT_20_30_30_20,YES
CL0068,P03,P03-WP041,P03-A15,2026-04,579544.96,WORKDAY_FALLBACK,YES
CL0068,P03,P03-WP041,P03-A15,2026-05,760652.76,WORKDAY_FALLBACK,YES
CL0068,P03,P03-WP041,P03-A15,2026-06,796874.32,WORKDAY_FALLBACK,YES
CL0068,P03,P03-WP041,P03-A15,2026-07,36221.96,WORKDAY_FALLBACK,YES
CL0069,P03,P03-WP041,P03-A29,2026-09,869318.00,FINAL_GATE,YES
CL0070,P03,P03-WP042,P03-A16,2025-09,71050.00,PROCUREMENT_20_30_30_20,YES
CL0070,P03,P03-WP042,P03-A16,2025-10,284200.00,PROCUREMENT_20_30_30_20,YES
CL0071,P03,P03-WP042,P03-A17,2025-11,284200.00,PROCUREMENT_20_30_30_20,YES
CL0071,P03,P03-WP042,P03-A17,2025-12,426300.00,PROCUREMENT_20_30_30_20,YES
CL0071,P03,P03-WP042,P03-A17,2026-01,426300.00,PROCUREMENT_20_30_30_20,YES
CL0071,P03,P03-WP042,P03-A17,2026-02,284200.00,PROCUREMENT_20_30_30_20,YES
CL0072,P03,P03-WP042,P03-A18,2026-02,355250.00,WORKDAY_SPREAD,YES
CL0073,P03,P03-WP042,P03-A19,2026-02,1136800.00,PROCUREMENT_20_30_30_20,YES
CL0073,P03,P03-WP042,P03-A19,2026-03,284200.00,PROCUREMENT_20_30_30_20,YES
CL0074,P03,P03-WP042,P03-A20,2026-05,402616.61,WORKDAY_FALLBACK,YES
CL0074,P03,P03-WP042,P03-A20,2026-06,521033.26,WORKDAY_FALLBACK,YES
CL0074,P03,P03-WP042,P03-A20,2026-07,142100.13,WORKDAY_FALLBACK,YES
CL0075,P03,P03-WP042,P03-A25,2026-07,301962.50,WORKDAY_SPREAD,YES
CL0075,P03,P03-WP042,P03-A25,2026-08,53287.50,WORKDAY_SPREAD,YES
