Reporting_Month,Program_Monthly_PV_USD,Program_Cumulative_PV_USD,Project_BAC_USD,Program_Contingency_USD,Authorized_Budget_USD
2025-01,832526.00,832526.00,88500000.00,7500000.00,96000000.00
2025-02,1410000.00,2242526.00,88500000.00,7500000.00,96000000.00
2025-03,833601.38,3076127.38,88500000.00,7500000.00,96000000.00
2025-04,1294012.20,4370139.58,88500000.00,7500000.00,96000000.00
2025-05,1595848.90,5965988.48,88500000.00,7500000.00,96000000.00
2025-06,2880651.58,8846640.06,88500000.00,7500000.00,96000000.00
2025-07,4084726.98,12931367.04,88500000.00,7500000.00,96000000.00
2025-08,4229867.42,17161234.46,88500000.00,7500000.00,96000000.00
2025-09,4017202.12,21178436.58,88500000.00,7500000.00,96000000.00
2025-10,5409524.48,26587961.06,88500000.00,7500000.00,96000000.00
2025-11,6808669.82,33396630.88,88500000.00,7500000.00,96000000.00
2025-12,6743308.21,40139939.09,88500000.00,7500000.00,96000000.00
2026-01,4028945.07,44168884.16,88500000.00,7500000.00,96000000.00
2026-02,5393701.19,49562585.35,88500000.00,7500000.00,96000000.00
2026-03,4879011.51,54441596.86,88500000.00,7500000.00,96000000.00
2026-04,4479047.96,58920644.82,88500000.00,7500000.00,96000000.00
2026-05,3616730.90,62537375.72,88500000.00,7500000.00,96000000.00
2026-06,3486218.57,66023594.29,88500000.00,7500000.00,96000000.00
2026-07,2145981.19,68169575.48,88500000.00,7500000.00,96000000.00
2026-08,4367427.94,72537003.42,88500000.00,7500000.00,96000000.00
2026-09,4210183.83,76747187.25,88500000.00,7500000.00,96000000.00
2026-10,2721643.75,79468831.00,88500000.00,7500000.00,96000000.00
2026-11,2420949.80,81889780.80,88500000.00,7500000.00,96000000.00
2026-12,2690507.20,84580288.00,88500000.00,7500000.00,96000000.00
2027-01,1042727.83,85623015.83,88500000.00,7500000.00,96000000.00
2027-02,1173270.80,86796286.63,88500000.00,7500000.00,96000000.00
2027-03,557036.95,87353323.58,88500000.00,7500000.00,96000000.00
2027-04,449984.10,87803307.68,88500000.00,7500000.00,96000000.00
2027-05,310121.32,88113429.00,88500000.00,7500000.00,96000000.00
2027-06,192866.00,88306295.00,88500000.00,7500000.00,96000000.00
2027-07,160405.00,88466700.00,88500000.00,7500000.00,96000000.00
2027-08,33300.00,88500000.00,88500000.00,7500000.00,96000000.00
2027-09,0.00,88500000.00,88500000.00,7500000.00,96000000.00
2027-10,0.00,88500000.00,88500000.00,7500000.00,96000000.00
2027-11,0.00,88500000.00,88500000.00,7500000.00,96000000.00
2027-12,0.00,88500000.00,88500000.00,7500000.00,96000000.00
