Reporting_Month,Project_ID,Monthly_PV_USD,Cumulative_PV_USD,Planned_Cash_USD,Actual_Cost_USD,Earned_Value_USD
2025-01,P01,285455.00,285455.00,,,
2025-01,P02,0.00,0.00,,,
2025-01,P03,508515.00,508515.00,,,
2025-01,P04,0.00,0.00,,,
2025-01,P05,0.00,0.00,,,
2025-01,P06,0.00,0.00,,,
2025-01,P07,0.00,0.00,,,
2025-01,P08,0.00,0.00,,,
2025-01,P09,0.00,0.00,,,
2025-01,P10,0.00,0.00,,,
2025-01,P11,0.00,0.00,,,
2025-01,P12,38556.00,38556.00,,,
2025-02,P01,341621.00,627076.00,,,
2025-02,P02,745140.00,745140.00,,,
2025-02,P03,289681.00,798196.00,,,
2025-02,P04,0.00,0.00,,,
2025-02,P05,0.00,0.00,,,
2025-02,P06,0.00,0.00,,,
2025-02,P07,0.00,0.00,,,
2025-02,P08,0.00,0.00,,,
2025-02,P09,0.00,0.00,,,
2025-02,P10,0.00,0.00,,,
2025-02,P11,0.00,0.00,,,
2025-02,P12,33558.00,72114.00,,,
2025-03,P01,170323.38,797399.38,,,
2025-03,P02,269676.00,1014816.00,,,
2025-03,P03,153468.00,951664.00,,,
2025-03,P04,0.00,0.00,,,
2025-03,P05,189440.00,189440.00,,,
2025-03,P06,0.00,0.00,,,
2025-03,P07,0.00,0.00,,,
2025-03,P08,0.00,0.00,,,
2025-03,P09,0.00,0.00,,,
2025-03,P10,0.00,0.00,,,
2025-03,P11,0.00,0.00,,,
2025-03,P12,50694.00,122808.00,,,
2025-04,P01,232063.62,1029463.00,,,
2025-04,P02,327660.58,1342476.58,,,
2025-04,P03,282576.00,1234240.00,,,
2025-04,P04,0.00,0.00,,,
2025-04,P05,261960.00,451400.00,,,
2025-04,P06,0.00,0.00,,,
2025-04,P07,0.00,0.00,,,
2025-04,P08,0.00,0.00,,,
2025-04,P09,0.00,0.00,,,
2025-04,P10,0.00,0.00,,,
2025-04,P11,112640.00,112640.00,,,
2025-04,P12,77112.00,199920.00,,,
2025-05,P01,363093.56,1392556.56,,,
2025-05,P02,340963.42,1683440.00,,,
2025-05,P03,332108.00,1566348.00,,,
2025-05,P04,0.00,0.00,,,
2025-05,P05,284900.00,736300.00,,,
2025-05,P06,0.00,0.00,,,
2025-05,P07,0.00,0.00,,,
2025-05,P08,0.00,0.00,,,
2025-05,P09,0.00,0.00,,,
2025-05,P10,0.00,0.00,,,
2025-05,P11,72960.00,185600.00,,,
2025-05,P12,201823.92,401743.92,,,
2025-06,P01,730133.44,2122690.00,,,
2025-06,P02,1014992.00,2698432.00,,,
2025-06,P03,273779.28,1840127.28,,,
2025-06,P04,205425.00,205425.00,,,
2025-06,P05,302290.00,1038590.00,,,
2025-06,P06,0.00,0.00,,,
2025-06,P07,0.00,0.00,,,
2025-06,P08,0.00,0.00,,,
2025-06,P09,0.00,0.00,,,
2025-06,P10,0.00,0.00,,,
2025-06,P11,100800.00,286400.00,,,
2025-06,P12,253231.86,654975.78,,,
2025-07,P01,1939392.00,4062082.00,,,
2025-07,P02,792000.00,3490432.00,,,
2025-07,P03,408300.70,2248427.98,,,
2025-07,P04,94325.00,299750.00,,,
2025-07,P05,431280.10,1469870.10,,,
2025-07,P06,0.00,0.00,,,
2025-07,P07,0.00,0.00,,,
2025-07,P08,0.00,0.00,,,
2025-07,P09,0.00,0.00,,,
2025-07,P10,0.00,0.00,,,
2025-07,P11,142080.00,428480.00,,,
2025-07,P12,277349.18,932324.96,,,
2025-08,P01,575424.00,4637506.00,,,
2025-08,P02,842688.00,4333120.00,,,
2025-08,P03,456614.59,2705042.57,,,
2025-08,P04,94967.00,394717.00,,,
2025-08,P05,1395923.65,2865793.75,,,
2025-08,P06,150420.00,150420.00,,,
2025-08,P07,0.00,0.00,,,
2025-08,P08,0.00,0.00,,,
2025-08,P09,0.00,0.00,,,
2025-08,P10,0.00,0.00,,,
2025-08,P11,460598.32,889078.32,,,
2025-08,P12,253231.86,1185556.82,,,
2025-09,P01,575424.00,5212930.00,,,
2025-09,P02,266112.00,4599232.00,,,
2025-09,P03,856826.48,3561869.05,,,
2025-09,P04,252495.50,647212.50,,,
2025-09,P05,939560.81,3805354.56,,,
2025-09,P06,288765.00,439185.00,,,
2025-09,P07,0.00,0.00,,,
2025-09,P08,0.00,0.00,,,
2025-09,P09,0.00,0.00,,,
2025-09,P10,0.00,0.00,,,
2025-09,P11,681255.15,1570333.47,,,
2025-09,P12,156763.18,1342320.00,,,
2025-10,P01,1069966.00,6282896.00,,,
2025-10,P02,779328.00,5378560.00,,,
2025-10,P03,1086055.35,4647924.40,,,
2025-10,P04,182630.65,829843.15,,,
2025-10,P05,1487064.44,5292419.00,,,
2025-10,P06,161115.40,600300.40,,,
2025-10,P07,110700.00,110700.00,,,
2025-10,P08,0.00,0.00,,,
2025-10,P09,0.00,0.00,,,
2025-10,P10,0.00,0.00,,,
2025-10,P11,442088.64,2012422.11,,,
2025-10,P12,90576.00,1432896.00,,,
2025-11,P01,895104.00,7178000.00,,,
2025-11,P02,1985702.40,7364262.40,,,
2025-11,P03,816657.10,5464581.50,,,
2025-11,P04,557746.50,1387589.65,,,
2025-11,P05,1582531.00,6874950.00,,,
2025-11,P06,300495.60,900796.00,,,
2025-11,P07,128535.00,239235.00,,,
2025-11,P08,0.00,0.00,,,
2025-11,P09,0.00,0.00,,,
2025-11,P10,0.00,0.00,,,
2025-11,P11,497222.22,2509644.33,,,
2025-11,P12,44676.00,1477572.00,,,
2025-12,P01,222000.00,7400000.00,,,
2025-12,P02,263577.60,7627840.00,,,
2025-12,P03,1871540.00,7336121.50,,,
2025-12,P04,1036041.34,2423630.99,,,
2025-12,P05,1780659.68,8655609.68,,,
2025-12,P06,837717.34,1738513.34,,,
2025-12,P07,127988.58,367223.58,,,
2025-12,P08,122820.00,122820.00,,,
2025-12,P09,0.00,0.00,,,
2025-12,P10,0.00,0.00,,,
2025-12,P11,429555.67,2939200.00,,,
2025-12,P12,51408.00,1528980.00,,,
2026-01,P01,0.00,7400000.00,,,
2026-01,P02,528000.00,8155840.00,,,
2026-01,P03,426300.00,7762421.50,,,
2026-01,P04,846899.01,3270530.00,,,
2026-01,P05,1038292.52,9693902.20,,,
2026-01,P06,499657.82,2238171.16,,,
2026-01,P07,260418.42,627642.00,,,
2026-01,P08,212173.30,334993.30,,,
2026-01,P09,0.00,0.00,,,
2026-01,P10,0.00,0.00,,,
2026-01,P11,145600.00,3084800.00,,,
2026-01,P12,71604.00,1600584.00,,,
2026-02,P01,0.00,7400000.00,,,
2026-02,P02,644160.00,8800000.00,,,
2026-02,P03,2297840.50,10060262.00,,,
2026-02,P04,866571.00,4137101.00,,,
2026-02,P05,347732.80,10041635.00,,,
2026-02,P06,470976.94,2709148.10,,,
2026-02,P07,276640.60,904282.60,,,
2026-02,P08,143423.35,478416.65,,,
2026-02,P09,175500.00,175500.00,,,
2026-02,P10,0.00,0.00,,,
2026-02,P11,86400.00,3171200.00,,,
2026-02,P12,84456.00,1685040.00,,,
2026-03,P01,0.00,7400000.00,,,
2026-03,P02,0.00,8800000.00,,,
2026-03,P03,1414313.00,11474575.00,,,
2026-03,P04,1197899.00,5335000.00,,,
2026-03,P05,244200.00,10285835.00,,,
2026-03,P06,346948.90,3056097.00,,,
2026-03,P07,906605.40,1810888.00,,,
2026-03,P08,285169.35,763586.00,,,
2026-03,P09,164580.00,340080.00,,,
2026-03,P10,0.00,0.00,,,
2026-03,P11,28800.00,3200000.00,,,
2026-03,P12,290495.86,1975535.86,,,
2026-04,P01,0.00,7400000.00,,,
2026-04,P02,0.00,8800000.00,,,
2026-04,P03,1970452.96,13445027.96,,,
2026-04,P04,165000.00,5500000.00,,,
2026-04,P05,481165.00,10767000.00,,,
2026-04,P06,867301.30,3923398.30,,,
2026-04,P07,144976.00,1955864.00,,,
2026-04,P08,305184.92,1068770.92,,,
2026-04,P09,137280.00,477360.00,,,
2026-04,P10,66600.00,66600.00,,,
2026-04,P11,0.00,3200000.00,,,
2026-04,P12,341087.78,2316623.64,,,
2026-05,P01,0.00,7400000.00,,,
2026-05,P02,0.00,8800000.00,,,
2026-05,P03,1292580.37,14737608.33,,,
2026-05,P04,0.00,5500000.00,,,
2026-05,P05,333000.00,11100000.00,,,
2026-05,P06,353390.01,4276788.31,,,
2026-05,P07,708152.00,2664016.00,,,
2026-05,P08,296098.08,1364869.00,,,
2026-05,P09,86666.65,564026.65,,,
2026-05,P10,221260.00,287860.00,,,
2026-05,P11,0.00,3200000.00,,,
2026-05,P12,325583.79,2642207.43,,,
2026-06,P01,0.00,7400000.00,,,
2026-06,P02,0.00,8800000.00,,,
2026-06,P03,1650421.58,16388029.91,,,
2026-06,P04,0.00,5500000.00,,,
2026-06,P05,0.00,11100000.00,,,
2026-06,P06,292239.30,4569027.61,,,
2026-06,P07,325157.00,2989173.00,,,
2026-06,P08,226348.60,1591217.60,,,
2026-06,P09,199749.31,763775.96,,,
2026-06,P10,451215.00,739075.00,,,
2026-06,P11,0.00,3200000.00,,,
2026-06,P12,341087.78,2983295.21,,,
2026-07,P01,0.00,7400000.00,,,
2026-07,P02,0.00,8800000.00,,,
2026-07,P03,480284.59,16868314.50,,,
2026-07,P04,0.00,5500000.00,,,
2026-07,P05,0.00,11100000.00,,,
2026-07,P06,628678.27,5197705.88,,,
2026-07,P07,95667.00,3084840.00,,,
2026-07,P08,209457.60,1800675.20,,,
2026-07,P09,292864.04,1056640.00,,,
2026-07,P10,268484.90,1007559.90,,,
2026-07,P11,0.00,3200000.00,,,
2026-07,P12,170544.79,3153840.00,,,
2026-08,P01,0.00,7400000.00,,,
2026-08,P02,0.00,8800000.00,,,
2026-08,P03,499888.50,17368203.00,,,
2026-08,P04,0.00,5500000.00,,,
2026-08,P05,0.00,11100000.00,,,
2026-08,P06,575173.94,5772879.82,,,
2026-08,P07,972110.00,4056950.00,,,
