Relationship_ID,Project_ID,Predecessor_Activity_ID,Successor_Activity_ID,Relationship_Type,Lag_Days,Relationship_Scope,Recovery_Status
R0001,P01,P01-A1,P01-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0002,P01,P01-A2,P01-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0003,P01,P01-A3,P01-A4,FS,10,Within Project,Reconstructed from approved narrative/logic
R0004,P01,P01-A3,P01-A4u,FS,0,Within Project,Reconstructed from approved narrative/logic
R0005,P01,P01-A4,P01-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0007,P01,P01-A4,P01-A5,SS,15,Within Project,Reconstructed from approved narrative/logic
R0008,P01,P01-A5,P01-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0013,P01,P01-A7a,P01-A7b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0014,P01,P01-A7b,P01-A7c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0015,P01,P01-A6,P01-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0016,P01,P01-A7c,P01-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0017,P01,P01-A4u,P01-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0018,P01,P01-A8,P01-A9,SS,15,Within Project,Reconstructed from approved narrative/logic
R0019,P01,P01-A8,P01-A9b,SS,20,Within Project,Reconstructed from approved narrative/logic
R0020,P01,P01-A8,P01-A11,FS,5,Within Project,Reconstructed from approved narrative/logic
R0021,P01,P01-A9,P01-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0022,P01,P01-A9b,P01-A11,FS,0,Within Project,Reconstructed from approved narrative/logic
R0023,P01,P01-A11,P01-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0024,P01,P01-A12,P01-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0025,P01,P01-A10,P01-A15,FS,0,Within Project,Reconstructed from approved narrative/logic
R0026,P01,P01-A12,P01-A13,SS,5,Within Project,Reconstructed from approved narrative/logic
R0028,P01,P01-A13,P01-A14,FS,0,Within Project,Reconstructed from approved narrative/logic
R0029,P01,P01-A15,P01-A14,FF,0,Within Project,Reconstructed from approved narrative/logic
R0030,P01,P01-A14,P01-M4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0031,P02,P02-A1,P02-A2,FS,0,Within Project,Reconstructed from approved narrative/logic
R0032,P02,P02-A2,P02-A3,FS,0,Within Project,Reconstructed from approved narrative/logic
R0033,P02,P02-A3,P02-A4,FS,0,Within Project,Reconstructed from approved narrative/logic
R0035,P02,P02-A4,P02-A4b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0036,P02,P02-A4,P02-A5,SS,15,Within Project,Reconstructed from approved narrative/logic
R0037,P02,P02-A5,P02-A5b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0045,P02,P02-A7a,P02-A7b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0046,P02,P02-A7b,P02-A7c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0047,P02,P02-A7c,P02-A7d,FS,0,Within Project,Reconstructed from approved narrative/logic
R0048,P02,P02-A11a,P02-A11b,FS,0,Within Project,Reconstructed from approved narrative/logic
R0049,P02,P02-A11b,P02-A11c,FS,0,Within Project,Reconstructed from approved narrative/logic
R0050,P02,P02-A11c,P02-A11d,FS,0,Within Project,Reconstructed from approved narrative/logic
R0051,P02,P02-A6,P02-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0052,P02,P02-A6b,P02-A8,FS,0,Within Project,Reconstructed from approved narrative/logic
R0053,P02,P02-A8,P02-A9,FS,0,Within Project,Reconstructed from approved narrative/logic
R0054,P02,P02-A9,P02-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0055,P02,P02-A7d,P02-A10,FS,0,Within Project,Reconstructed from approved narrative/logic
R0056,P02,P02-A9,P02-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0057,P02,P02-A11d,P02-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0058,P02,P02-A6c,P02-A12,FS,0,Within Project,Reconstructed from approved narrative/logic
R0059,P02,P02-A9,P02-A13,FS,0,Within Project,Reconstructed from approved narrative/logic
