Cost_Entry_ID,Cost_Ownership_Line_ID,Project_ID,Activity_ID,Incurred_Date,Reporting_Month,Cost_Category,Incurred_Cost_USD,Transaction_Description,Source
AC-CL0001-2025-01,CL0001,P01,P01-A1,2025-01-31,2025-01,ENGINEERING_OR_FIELD,122100.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0002-2025-01,CL0002,P01,P01-A2,2025-01-31,2025-01,ENGINEERING_OR_FIELD,99900.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0003-2025-01,CL0003,P01,P01-A3,2025-01-31,2025-01,ENGINEERING_OR_FIELD,63455.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0003-2025-02,CL0003,P01,P01-A3,2025-02-28,2025-02,ENGINEERING_OR_FIELD,117845.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0004-2025-03,CL0004,P01,P01-A4,2025-03-31,2025-03,ENGINEERING_OR_FIELD,60606.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0004-2025-04,CL0004,P01,P01-A4,2025-04-30,2025-04,ENGINEERING_OR_FIELD,23569.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0005-2025-04,CL0005,P01,P01-A4b,2025-04-30,2025-04,ENGINEERING_OR_FIELD,84175.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0006-2025-10,CL0006,P01,P01-A12,2025-10-31,2025-10,TESTING_ACCEPTANCE,168350.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0007-2025-05,CL0007,P01,P01-A7a,2025-05-31,2025-05,PROCUREMENT,56634.94,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0007-2025-06,CL0007,P01,P01-A7a,2025-06-30,2025-06,PROCUREMENT,13813.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0008-2025-03,CL0008,P01,P01-A5,2025-03-31,2025-03,ENGINEERING_OR_FIELD,13813.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0008-2025-04,CL0008,P01,P01-A5,2025-04-30,2025-04,ENGINEERING_OR_FIELD,55253.60,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0009-2025-04,CL0009,P01,P01-A5b,2025-04-30,2025-04,ENGINEERING_OR_FIELD,69066.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0010-2025-05,CL0010,P01,P01-A6,2025-05-31,2025-05,ENGINEERING_OR_FIELD,307840.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0010-2025-06,CL0010,P01,P01-A6,2025-06-30,2025-06,ENGINEERING_OR_FIELD,76960.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0011-2025-06,CL0011,P01,P01-A7b,2025-06-30,2025-06,PROCUREMENT,664934.40,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0011-2025-07,CL0011,P01,P01-A7b,2025-07-31,2025-07,PROCUREMENT,639360.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
AC-CL0012-2025-02,CL0012,P01,P01-A4u,2025-02-28,2025-02,ENGINEERING_OR_FIELD,223776.00,Synthetic work-performed cost incurrence incl. scenario cost pressure; not paid invoice,SYNTHETIC_SCENARIO_V1
