Commitment_ID,Cost_Ownership_Line_ID,Project_ID,Activity_ID,Commitment_Date,Commitment_Type,Authorized_Commitment_USD,Cumulative_AC_At_Cutoff_USD,Unincurred_Commitment_USD,Source
PO-CL0007,CL0007,P01,P01-A7a,2025-05-15,SYNTHETIC_PURCHASE_ORDER,73901.69,70448.34,3453.35,SYNTHETIC_SCENARIO_V1
PO-CL0011,CL0011,P01,P01-A7b,2025-06-05,SYNTHETIC_PURCHASE_ORDER,1393804.80,1304294.40,89510.40,SYNTHETIC_SCENARIO_V1
PO-CL0013,CL0013,P01,P01-A7c,2025-07-17,SYNTHETIC_PURCHASE_ORDER,1317081.60,1304294.40,12787.20,SYNTHETIC_SCENARIO_V1
PO-CL0031,CL0031,P02,P02-A7a,2025-06-02,SYNTHETIC_PURCHASE_ORDER,207187.20,212889.60,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0033,CL0033,P02,P02-A7b,2025-06-30,SYNTHETIC_PURCHASE_ORDER,821145.60,851558.40,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0036,CL0036,P02,P02-A7d,2025-11-17,SYNTHETIC_PURCHASE_ORDER,790732.80,851558.40,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0039,CL0039,P02,P02-A11a,2025-06-02,SYNTHETIC_PURCHASE_ORDER,230630.40,248371.20,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0041,CL0041,P02,P02-A11b,2025-06-30,SYNTHETIC_PURCHASE_ORDER,975744.00,993484.80,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0043,CL0043,P02,P02-A11d,2025-11-03,SYNTHETIC_PURCHASE_ORDER,949132.80,993484.80,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0064,CL0064,P03,P03-A11,2025-09-18,SYNTHETIC_PURCHASE_ORDER,452045.36,491164.67,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0065,CL0065,P03,P03-A12,2025-10-16,SYNTHETIC_PURCHASE_ORDER,1877725.80,1912498.50,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0066,CL0066,P03,P03-A13,2026-03-05,SYNTHETIC_PURCHASE_ORDER,469431.72,249928.92,219502.80,SYNTHETIC_SCENARIO_V1
PO-CL0067,CL0067,P03,P03-A14,2026-03-26,SYNTHETIC_PURCHASE_ORDER,1929884.85,0.00,1929884.85,SYNTHETIC_SCENARIO_V1
PO-CL0070,CL0070,P03,P03-A16,2025-09-18,SYNTHETIC_PURCHASE_ORDER,373012.50,390775.00,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0071,CL0071,P03,P03-A17,2025-10-16,SYNTHETIC_PURCHASE_ORDER,1534680.00,1605730.00,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0073,CL0073,P03,P03-A19,2026-02-19,SYNTHETIC_PURCHASE_ORDER,1548890.00,1563100.00,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0076,CL0076,P03,P03-A21,2025-09-18,SYNTHETIC_PURCHASE_ORDER,164717.94,169336.20,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0077,CL0077,P03,P03-A22,2025-10-09,SYNTHETIC_PURCHASE_ORDER,640397.68,677343.70,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0078,CL0078,P03,P03-A23,2025-12-18,SYNTHETIC_PURCHASE_ORDER,683500.26,677342.60,6157.66,SYNTHETIC_SCENARIO_V1
PO-CL0116,CL0116,P05,P05-A11,2025-07-14,SYNTHETIC_PURCHASE_ORDER,320346.00,337662.00,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0146,CL0146,P06,P06-A11,2025-12-12,SYNTHETIC_PURCHASE_ORDER,99567.00,101361.00,0.00,SYNTHETIC_SCENARIO_V1
PO-CL0149,CL0149,P06,P06-A12,2026-01-02,SYNTHETIC_PURCHASE_ORDER,373152.00,317179.20,55972.80,SYNTHETIC_SCENARIO_V1
PO-CL0150,CL0150,P06,P06-A13,2026-03-27,SYNTHETIC_PURCHASE_ORDER,97773.00,0.00,97773.00,SYNTHETIC_SCENARIO_V1
PO-CL0178,CL0178,P07,P07-A8,2026-02-25,SYNTHETIC_PURCHASE_ORDER,50702.98,46876.34,3826.64,SYNTHETIC_SCENARIO_V1
PO-CL0185,CL0185,P07,P07-A9,2026-03-18,SYNTHETIC_PURCHASE_ORDER,92840.40,41820.00,51020.40,SYNTHETIC_SCENARIO_V1
PO-CL0289,CL0289,P11,P11-A9,2025-08-12,SYNTHETIC_PURCHASE_ORDER,413952.12,371790.33,42161.79,SYNTHETIC_SCENARIO_V1
PO-CL0315,CL0315,P12,P12-Y1A5,2025-04-10,SYNTHETIC_PURCHASE_ORDER,126806.40,123379.20,3427.20,SYNTHETIC_SCENARIO_V1
PO-CL0316,CL0316,P12,P12-Y2A5,2026-02-05,SYNTHETIC_PURCHASE_ORDER,151286.40,158630.40,0.00,SYNTHETIC_SCENARIO_V1
