Evidence_ID,Cost_Ownership_Line_ID,Project_ID,Activity_ID,Reporting_Month,Evidence_Date,Measurement_Method,Evidence_Type,Incremental_Earned_Pct,Cumulative_Completion_Pct,Accepted_Quantity_Units,Quantity_Basis,Earned_Value_USD,Source
EVID-CL0001-2025-01,CL0001,P01,P01-A1,2025-01,2025-01-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,122100.00,SYNTHETIC_SCENARIO_V1
EVID-CL0002-2025-01,CL0002,P01,P01-A2,2025-01,2025-01-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,99900.00,SYNTHETIC_SCENARIO_V1
EVID-CL0003-2025-01,CL0003,P01,P01-A3,2025-01,2025-01-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,35,35,,,63455.00,SYNTHETIC_SCENARIO_V1
EVID-CL0003-2025-02,CL0003,P01,P01-A3,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,65,100,,,117845.00,SYNTHETIC_SCENARIO_V1
EVID-CL0004-2025-03,CL0004,P01,P01-A4,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,72,72,,,60606.00,SYNTHETIC_SCENARIO_V1
EVID-CL0004-2025-04,CL0004,P01,P01-A4,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,28,100,,,23569.00,SYNTHETIC_SCENARIO_V1
EVID-CL0005-2025-04,CL0005,P01,P01-A4b,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,84175.00,SYNTHETIC_SCENARIO_V1
EVID-CL0006-2025-10,CL0006,P01,P01-A12,2025-10,2025-10-31,FINAL_GATE,SYNTHETIC_ACCEPTANCE_RECORD,100,100,,,168350.00,SYNTHETIC_SCENARIO_V1
EVID-CL0007-2025-05,CL0007,P01,P01-A7a,2025-05,2025-05-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,80,80,,,55253.60,SYNTHETIC_SCENARIO_V1
EVID-CL0007-2025-06,CL0007,P01,P01-A7a,2025-06,2025-06-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,20,100,,,13813.40,SYNTHETIC_SCENARIO_V1
EVID-CL0008-2025-03,CL0008,P01,P01-A5,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,20,20,,,13813.40,SYNTHETIC_SCENARIO_V1
EVID-CL0008-2025-04,CL0008,P01,P01-A5,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,80,100,,,55253.60,SYNTHETIC_SCENARIO_V1
EVID-CL0009-2025-04,CL0009,P01,P01-A5b,2025-04,2025-04-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,100,100,,,69066.00,SYNTHETIC_SCENARIO_V1
EVID-CL0010-2025-05,CL0010,P01,P01-A6,2025-05,2025-05-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,80,80,,,307840.00,SYNTHETIC_SCENARIO_V1
EVID-CL0010-2025-06,CL0010,P01,P01-A6,2025-06,2025-06-30,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,20,100,,,76960.00,SYNTHETIC_SCENARIO_V1
EVID-CL0011-2025-06,CL0011,P01,P01-A7b,2025-06,2025-06-30,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,50,,,639360.00,SYNTHETIC_SCENARIO_V1
EVID-CL0011-2025-07,CL0011,P01,P01-A7b,2025-07,2025-07-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,50,100,,,639360.00,SYNTHETIC_SCENARIO_V1
EVID-CL0012-2025-02,CL0012,P01,P01-A4u,2025-02,2025-02-28,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,70,70,,,223776.00,SYNTHETIC_SCENARIO_V1
EVID-CL0012-2025-03,CL0012,P01,P01-A4u,2025-03,2025-03-31,WORKDAY_SPREAD,SYNTHETIC_ENGINEER_PROGRESS_ASSESSMENT,30,100,,,95904.00,SYNTHETIC_SCENARIO_V1
EVID-CL0013-2025-07,CL0013,P01,P01-A7c,2025-07,2025-07-31,PROCUREMENT_20_30_30_20,SYNTHETIC_PROCUREMENT_STAGE_LOG,100,100,,,1278720.00,SYNTHETIC_SCENARIO_V1
